as a result	結果として
look up	を調べる
available	利用できる
at first	最初は
in the past	過去に
nowadays	最近、近頃
information	情報
drop by	ちょっと立ち寄る
gain	得る
traditional	伝統的な
quality	質、特性
improve	を改善する、改良する
however	しかしながら、どんなに～でも
collect	集める
extra	余分の、特別の
clothing	衣料品
comfortable	心地の良い、快適な
disappoint	がっかりさせる
instead	代わりに、その代わり
originally	はじめは、元々は
take part in	に参加する
dress up	着飾る
certainly	確かに、間違いなく
find out	見つけ出す
search for	を探索する
come up with	を思いつく、を考え出す
company	会社
details	詳細
melt	溶ける、を溶かす
direction	方向、方角
injury	怪我、負傷
silence	沈黙
tight	狭い、締まった
protect	を守る、保護する
sharp	鋭い
behind	背後に
bother	面倒／迷惑をかける
emergency	緊急、急ぎ
waste	を浪費する／浪費、廃棄物
amount	量、額
advantage	有利、利点
object	物体
add	足し算する、合計する
surface	表面、水面
destroy	を破壊する
knowledge	知識
continue	をし続ける
immediately	即座に
correct	正確な／を訂正する
government	政府、行政府、内閣
raise	を上げる、持ち上げる
hurt	を傷つける
experiment	実験、試み
fail	失敗する
material	材料、原料
recently	最近、このごろ
spread	を広げる、広がる
traffic	交通、運輸
modern	現代的な、現代の
reduce	を減らす、縮小する
distance	距離
opportunity	機会、好機
activity	活動
abroad	外国で、外国へ
prefer	より好む
mention	言及する
although	だけれども
climate	気候
condition	状態、条件
impression	印象
item	項目、品目
profit	利益、もうけ
survey	調査／を見渡す
sink	沈む
illness	病気
flavor	風味、味
expert	専門家
borrow	を借りる
notice	気づく／通知
quit	やめる
silly	馬鹿な、愚かな
wealthy	裕福な
behave	振る舞う
decrease	減少する、を減らす／減少
divide	を分割する、分ける
ignore	を無視する
judge	を判断する／裁判官
organize	を組織する、を編成する
overcome	を克服する
narrow	幅が狭い
attract	引きつける
breathe	呼吸をする
confuse	を混乱させる、区別がつかない
reserve	を取っておく
asleep	眠っている
nervous	神経質な、びくびくして
discuss	について議論する、検討する
rarely	めったに～ない
thanks to	のおかげで
anyway	ともかく
