other	他の
people	人々
end	終わる
last	この前の、最後の
one	一つの
each	各々の
say	言う
talk	話す
question	質問
own	自分の
think	考える、思う
rest	休息する
tea	お茶
see	見る、分かる
sit	座る
art	美術、芸術
take	取る、連れて行く、写真を撮る
rain	雨
foot	足
I	私
enough	十分な
tell	伝える
shout	叫ぶ
five	5
father	父親
fish	魚
animal	動物
such	そのような
answer	答える
right	右に、正しい
teach	教える
future	未来
show	見せる
rise	昇る
sea	海
decide	決心する
you	あなた
exciting	興奮させる
sun	太陽
word	言葉
interesting	面白い
port	港
front	前
hold	握る
remember	覚えている、思い出す
mountain	山
understand	理解する
river	川
popular	人気の
face	顔
usual	通常の
set	置く
market	市場
what	何
different	違った
watch	見る、視聴する
sure	確信して
same	同じ
mean	意味する
lake	湖
lie	嘘をつく
spend	費やす
war	戦争
wear	着る
kind	種類
tired	疲れている
useful	役に立つ
cloth	布
ice	氷
leg	脚
enter	入る
health	健康
invite	招待する
loud	騒がしい
fall	落ちる
throw	投げる
finish	終える
forget	忘れる
snow	雪
water	水
person	人
heart	心
worry	心配する
wife	妻
meat	肉
well	健康な
a lot of	たくさんの
hundred	百
vacation	休暇
leaf	葉
wish	望む
vegetable	野菜
grandmother	祖母
island	島
hill	丘
tooth	歯
draw	描く
success	成功
wind	風
stone	石
pork	豚肉
build	建てる
pick	選ぶ
inside	内側
factory	工場
roof	屋根
past	過去の
sailor	船員
sugar	砂糖
shoulder	肩
wood	木材
seem	見える
textbook	教科書
wake	起きる
pay	支払う
salt	塩
farmer	農家
cloud	雲
thousand	千
ask	尋ねる
land	土地
planet	惑星
pond	池
nature	自然
pig	豚
rabbit	兎
laugh	笑う
just	ちょうど
real	本当の
stood	立っていた
while	～の間
fail	失敗する
put	置く
arm	腕
listen	聞く
enjoyed	楽しんだ
spoke	話した
save	節約する
tried	試した
still	まだ
sold	売った
foolish	愚かな
watched	見た
first	最初の
they	彼らは
played	遊んだ
realize	気づく
important	重要な
forth	４番目
hers	彼女のもの
honest	正直な
between	～と～の間
took	取った
zoo	動物園
quiet	静かな
then	そして
when	いつ
got	得た
yours	あなたのこと
joy	喜び
weak	弱い
it	それ
thought	考えた
use	使う
senior	上級の
waste	無駄にする
net	網
had	持っていた
lose	失う
bought	買った
poor	貧しい
rainy	雨の
her	彼女
its	その
weather	天気
wave	波
went	行った
but	しかし
once	かつて
his	彼の
stay	滞在する
their	彼らの
your	あなたの
yesterday	昨日
east	東
she	彼女は
How	どのように
please	お願いする
toy	おもちゃ
used	使った
fat	太った
dislike	嫌う
studied	勉強した
cloudy	曇りの
worried	心配した
made	作った
guess	推測する
event	出来事
sweet	甘い
fruit	果物
fourteen	14
soup	スープ
science	科学
drink	飲む
station	駅
seventy	70
cake	ケーキ
stand	立つ
hope	願う
street	通り
friend	友達
sometimes	時々
frog	蛙
supermarket	スーパーマーケット
small	小さい
summer	夏
stop	止まる
subject	主題
help	助ける
green	緑の
here	ここに
garbage	ゴミ
by	～によって
sister	姉妹
good	良い
seven	7
family	家族
food	食べ物
hot	熱い
great	素晴らしい
hear	聞く
funny	面白い
festival	お祭り
straight	まっすぐ
telephone	電話
forty	40
sport	スポーツ
Do	する
go	行く
strong	強い
teacher	先生
head	頭
eighteen	18
culture	文化
second	2番目
homework	宿題
language	言語
swim	泳ぐ
fast	速い
six	6
school	学校
speak	話す
ship	船
ten	10
shopping	買い物
hospital	病院
sing	歌う
famous	有名な
fifty	50
shop	店
season	季節
delicious	美味しい
short	短い
everyone	みんな
star	星
soft	柔らかい
from	～から
happy	幸せな
buy	買う
Friday	金曜日
have	持っている
scientist	科学者
girl	女の子
theirs	彼らの
favorite	お気に入りの
spell	綴る
September	9月
Sunday	日曜日
beautiful	美しい
table	テーブル
fifteen	15
desk	机
grape	ブドウ
for	～のために
four	4
fun	楽しい
house	家
temple	寺院
study	勉強する
hand	手
snowy	雪の
flower	花
August	8月
get	得る
subway	地下鉄
February	2月
walk	歩く
together	一緒に
umbrella	傘
the	その
with	～と一緒に
thirteen	13
usually	普通は
who	だれ
very	とても
My	私の
tiger	虎
wall	壁
world	世界
like	好き
travel	旅行する
winter	冬
train	電車
under	下
try	試みる
was	だった
turn	曲がる
two	2
up	上に
twelve	12
window	窓
tree	木
visit	訪問する
three	3
Tuesday	火曜日
this	この
tower	塔
third	3番目
write	書く
Wednesday	水曜日
town	町
twenty	20
thirty	30
to	～へ
trip	旅行
where	どこで
want	欲しい
welcome	歓迎する
white	白い
wonderful	素晴らしい
why	なぜ
year	年
yellow	黄色い
low	低い
grow	育てる
history	歴史
wash	洗う
many	多くの
beer	ビール
doctor	医者
large	大きな
begin	始める
bridge	橋
December	12月
enjoy	楽しむ
all	全て
eight	8
or	または
nine	9
elementary school	小学校
absent	欠席の
am	ある
not	ない
room	部屋
if	もし
airplane	飛行機
on	～の上
climb	登る
sad	悲しい
stopped	止まった
a few	いくつかの
be scared of	～を恐れる
arrive at	～に到着する
and so on	など
January	1月
at noon	正午に
ask about	～について尋ねる
drum	太鼓
Japan	日本
meet	会う
talk to	～に話す
for example	例えば
reading	読書
Kindergarten	幼稚園
car	車
clothes	服
evening	夜
way	方法
host	主催者
say again	もう一度言う
hat	帽子
most of	大部分の
can	できる
number	数
nest	巣
listen to	～を聞く
bear	熊
go abroad	海外へ行く
and	そして
job	仕事
November	11月
become	なる
look	見る
country	国
cow	牛
bookstore	書店
dinner	夕食
afternoon	午後
March	3月
dream	夢
take out	持ち出す
snake	蛇
gave	与えた
show around	案内する
bag	袋
ninety	90
fine	良い
add	加える
down	下に
make own bed	ベッドを整える
leave	出発する
one day	いつか
brother	兄弟
again	もう一度
best	最高の
walk to　～まで歩く
sat	座った
worry about　～を心配する
ask for　を頼む
let's	～しましょう
bird	鳥
purple	紫色の
medicine	薬
clever	賢い
eighty	80
big	大きな
sheep	羊
look at　見る
field trip	遠足
airport	空港
play	演じる
cold	寒い
join	参加する
though	しかし
hurry	急ぐ
borrow	借りる
that	あれ
ever	今までに
from the experience　経験から
meaning	意味
hard	一生懸命
problem	問題
baseball	野球
seventeen	17
about	約
by bus	バスで
happiness	幸せ
call back　電話をかける
think of　考える
south	南
did	した
after	～の後で
eat	食べる
blue	青い
black	黒い
easy	簡単な
look after	世話をする
practice	練習
fool	愚か者
decide to　～することにする
farewell party　送別会
player	選手
Japanese	日本の
afraid	怖い
bread	パン
Thursday	木曜日
sixteen	16
chair	椅子
park	公園
cat	猫
picture	絵
him	彼を
light	光
July	7月
sleep	寝る
know	知っている
dish	皿
too ～ for　～には～すぎる
poem	詩
sit down	座る
kind to　親切な
nurse	看護師
box	箱
neck	首
ate	食べた
take care of	世話をする
every minute	毎分
work for	働く
another	もう一つの
live in	住む
ear	耳
get up	起きる
me	私
mouth	口
die	死ぬ
May	5月
difficult	難しい
nineteen	19
body	体
during	間
new	新しい
musician	音楽家
egg	卵
lend	貸す
monkey	サル
take a rest	休む
math	数学
clock	時計
queen	女王
boy	少年
Let us (Let's)	～しましょう
capital	首都
in	中に
on weekends	週末に
million	百万
name	名前
away	離れて
brought	持ってきた
lived	住んでいた
map	地図
our	私たちの
cook	料理する
try on	試着する
strange	奇妙な
grandfather	祖父
someone in need	困っている人
be	～である
stay up	夜更かしする
to go	持ち帰り
autumn	秋
birthday	誕生日
classmate	クラスメイト
night	夜
hall	ホール
change	変化する
bath	お風呂
beach	浜辺
write down	書き留める
clean	清潔な
be excited	興奮する
knee	膝
sixty	60
magazine	雑誌
much	多く
English	英語
time	時間
choose	選ぶ
talk about	話す
by car	車で
get along with	仲良くする
discover	発見する
brush	ブラシ
day	日
nose	鼻
bike	自転車
farm	農場
one	一つ
old	古い
cap	帽子
police	警察
explain	説明する
luck	幸運
read	読む
grass	草
north	北
date	日付
learn about	学ぶ
have a headache	頭痛がする
always	いつも
run	走る
saw	見た
earth	地球
cute	可愛い
stand up	立つ
book	本
place	場所
dry	乾いた
for here	ここで
came	来た
search for	探す
color	色
on your right	右側に
try to	しようと試みる
classroom	教室
advice	アドバイス
Monday	月曜日
row	並べる
excuse	許す
them	彼ら
leave for　～に向かう
newspaper	新聞
ruler	定理
introduce	紹介する
really	本当に
keep in touch	連絡を取り合う
understood	理解した
April	4月
chicken	鶏肉
bring	持ってくる
go to　～に行く
believe	信じる
spring	春
child	子供
on the way	途中で
in the future	将来
month	月
salad	サラダ
is	ある
beef	牛肉
happen	起こる
take it back	取り消す
stationery shop	文房具店
pencil	鉛筆
sang	歌った
over there	あそこに
mine	私自身の
entrance ceremony	入学式
horse	馬
wait for　待つ
busy	忙しい
junior high school　中学校
lie	嘘
library	図書館
foreign language　外国語
sorry	すみません
bicycle	自転車
cool	かっこいい
dog	犬
on the wall　壁に
stand by	待機する
eleven	11
June	6月
because	なぜなら
jump	ジャンプする
carefully	注意深く
memory	記憶
college	大学
be born	生まれる
even	～でさえ
carry	運ぶ
out	外へ
exam	試験
Saturday	土曜日
learn a lot from　～から多くを学ぶ
October	10月
hungry	お腹が空いた
at	～に
with a smile	笑顔で
dictionary	辞書
lunch	昼食
museum	博物館
red	赤い
between A and B	AとBの間
school festival	学校祭
life	人生
bright	明るい
breakfast	朝食
make	作る
morning	朝
long	長い
drama	演劇
high school	高校
sunny	晴れた
go straight	まっすぐ行く
too	～も
brown	茶色の
nice	素敵な
cup	カップ
we	私たち
cried	泣いた
never	決して～ない
How about　～はどうですか
law	法律
ride	乗る
example	例
find	見つける
left	左の
eraser	消しゴム
bean	豆
plan	計画
apple	リンゴ
eye	目
mother	お母さん
sent	送った
mouse	ネズミ
go back to　に戻る
feel	感じる
help with　～を手伝う
city	都市
even so	それでも
on your left	左側に
try hard	頑張る
live abroad	海外に住む
from now on　これから
get tired	疲れる
check out　チェックする
be interested in	に興味がある
from ～ to ～	～から～まで
be famous for　で有名である
try on　試着する
try to　～しようと努力する
